Model,Publication date,Organization,Domain,Task,log_parameters
Compress-LSTM (66M),2019-02-06,"Samsung R&D Institute Russia,National Research University Higher School of Economics",Language,Language modeling,7.819543935541868
Compress-LSTM (4.6M),2019-02-06,"Samsung R&D Institute Russia,National Research University Higher School of Economics",Language,Language modeling,6.662757831681574
Hanabi 4 player,2019-02-01,"DeepMind,University of Oxford,Carnegie Mellon University (CMU),Google Brain",Games,Hanabi,5.88309335857569
MT-DNN,2019-01-31,Microsoft,Language,Language modeling,8.518513939877888
TSLM+MoS (PTB),2019-01-31,"Tianjin University,Beijing Institute of Technology",Language,Language modeling,
Mono3D++,2019-01-11,"University of California Los Angeles (UCLA),Megvii Inc","3D modeling,Vision","3D segmentation,Object detection",
Transformer-XL (257M),2019-01-09,"Carnegie Mellon University (CMU),Google Brain",Language,Language modeling/generation,8.409933123331294
Transformer-XL-ptb,2019-01-09,"Carnegie Mellon University (CMU),Google Brain",Language,Language modeling/generation,7.380211241711606
Decoupled weight decay regularization,2019-01-04,University of Freiburg,Vision,Image classification,7.562292864456475
Transformer ELMo,2019-01-01,"Allen Institute for AI,University of Washington",Language,Language modeling,7.748188027006201
Transformer + Average Attention Network,2019-01-01,University of Electronic Science and Technology of China,Language,Language modeling,
StyleGAN,2018-12-12,NVIDIA,Image generation,Image generation,7.418301291319746
Vine copula (breast cancer),2018-12-04,"Massachusetts Institute of Technology (MIT),Rey Juan Carlos University",Vision,Image classification,
Vine copula (wine quality),2018-12-04,"Massachusetts Institute of Technology (MIT),Rey Juan Carlos University",Unknown,Multi-class classification,
Vine copula (crime),2018-12-04,"Massachusetts Institute of Technology (MIT),Rey Juan Carlos University",Unknown,Regression,
SPN (ImageNet 128),2018-12-04,"Google Brain,DeepMind",Image generation,Image generation,8.397940008672037
SPN (CelebA HQ),2018-12-04,"Google Brain,DeepMind",Image generation,Image generation,7.698970004336019
DMPFold,2018-11-29,University College London (UCL),Biology,"Proteins,Protein folding prediction,Protein contact and distance prediction",6.57978359661681
GPipe (Transformer),2018-11-16,Google,Language,Translation,9.778151250383644
Multi-cell LSTM,2018-11-15,University of Hyderabad,Language,Language modeling,6.857332496431268
Fine-tuned-AWD-LSTM-DOC (fin),2018-11-12,Samsung R&D Institute Russia,Language,Language modeling,7.662757831681574
Discriminator-tuned LSTM,2018-11-12,Samsung R&D Institute Russia,Language,Language modeling,8.04890770148377
Mesh-TensorFlow Transformer 4.9B (language),2018-11-05,Google Brain,Language,"Language modeling/generation,Translation",9.690196080028514
Mesh-TensorFlow Transformer 2.9B (translation),2018-11-05,Google Brain,Language,"Language modeling/generation,Translation",9.462397997898956
MemoReader,2018-10-31,"Samsung,Korea University",Language,Question answering,
code2vec,2018-10-30,"Technion - Israel Institute of Technology,Facebook AI Research",Language,Language modeling,
TrellisNet,2018-10-15,"Carnegie Mellon University (CMU),Bosch Center for Artificial Intelligence,Intel Labs",Language,Language modeling,8.255272505103306
TrellisNet-MoS (1.4x larger) PTB,2018-10-15,"Carnegie Mellon University (CMU),Intel Labs,Bosch Center for Artificial Intelligence",Language,Language modeling,7.531478917042255
BERT-Large,2018-10-11,Google,Language,"Question answering,Text autocompletion",8.531478917042255
DeepConPred2,2018-10-11,Tsinghua University,Biology,"Proteins,Protein folding prediction,Protein contact and distance prediction",
BigGAN-deep 512x512,2018-09-28,"Heriot-Watt University,DeepMind",Image generation,Image generation,8.051903803930898
Transformer (Adaptive Input Embeddings) WT103,2018-09-28,Facebook AI Research,Language,Language modeling,8.392696953259666
ADP-FAIRSEQ + NGRAMRES,2018-09-28,"Nara Institute of Science and Technology,Chinese University of Hong Kong (CUHK),Tsinghua University",Language,Language modeling,8.392696953259666
LSTM+NeuralCache,2018-09-24,"KU Leuven,ESAT - PSI,Apple",Language,Language modeling,6.3222192947339195
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",2018-09-18,"Peking University,Microsoft Research Asia",Language,"Language modeling,Translation,Text classification",7.544068044350276
"AWD-LSTM-MoS + dynamic evaluation (PTB, 2018)",2018-09-18,"Peking University,Microsoft Research Asia",Language,"Language modeling,Translation,Text classification",7.380211241711606
Talent Search and Recommendation Systems,2018-09-18,LinkedIn,Recommendation,Recommender system,
Transformer + Simple Recurrent Unit,2018-09-17,"ASAPP,Cornell University,Google,Princeton University",Language,Translation,7.954242509439325
NetSurfP-2.0,2018-09-10,"Technical University of Denmark,University of Copenhagen,Universidad Nacional de San Martín,AIMST University",Biology,"Protein folding prediction,Protein property prediction",
ESRGAN,2018-09-01,"Chinese University of Hong Kong (CUHK),Chinese Academy of Sciences,Nanyang Technological University","Vision,Image generation",Image super-resolution,
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,"NTT Communication Science Laboratories,Tohoku University",Language,Language modeling,8.267171728403014
(ensemble): AWD-LSTM-DOC (fin) × 5 (PTB),2018-08-30,"NTT Communication Science Laboratories,Tohoku University",Language,Language modeling,
AWD-LSTM-DOC (fin) (37M),2018-08-30,"NTT Communication Science Laboratories,Tohoku University",Language,Language modeling,7.568201724066995
AWD-LSTM-DOC (fin) (23M),2018-08-30,"NTT Communication Science Laboratories,Tohoku University",Language,Language modeling,7.361727836017593
Big Transformer for Back-Translation,2018-08-28,"Facebook AI Research,Google Brain",Language,Translation,
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),2018-08-14,IBM,Language,Language modeling,7.544068044350276
AWD-LSTM-MoS+PDR + dynamic evaluation (PTB),2018-08-14,IBM,Language,Language modeling,7.784280566075905
RGC+ASQ (PTB),2018-08-13,"Tsinghua University,University of California Los Angeles (UCLA)",Language,Language modeling,7.72817008937756
Dexterous In-Hand Manipulation [control policy],2018-08-01,OpenAI,Robotics,Robotic manipulation,6.502643939951896
Big-Little Net,2018-07-10,IBM,Vision,"Image classification,Object recognition",7.888516461074945
Big-Little Net (vision),2018-07-10,IBM,Vision,Object recognition,7.888516461074945
Big-Little Net (speech),2018-07-10,IBM,Speech,Speech recognition (ASR),6.521138083704036
Glow (Celeba HQ),2018-07-10,OpenAI,Image generation,Image generation,
RCAN,2018-07-08,Northeastern University,"Image generation,Vision",Image super-resolution,7.204119982655925
FTW (For The Win),2018-07-03,DeepMind,Games,Capture the flag,8.1003751293129
QT-Opt,2018-06-27,"Google Brain,University of California (UC) Berkeley","Robotics,Vision",Robotic manipulation,6.079181246047625
S + I-Attention (3),2018-06-26,"National Research University Higher School of Economics,Samsung R&D Institute Russia",Language,Language modeling,
DARTS,2018-06-24,"DeepMind,Carnegie Mellon University (CMU)",Language,"Language modeling,Neural Architecture Search - NAS",7.518513939877887
DARTS (second order) (PTB),2018-06-24,"Carnegie Mellon University (CMU),DeepMind",Language,"Language modeling,Neural Architecture Search - NAS",7.361727836017593
Relational Memory Core,2018-06-05,"DeepMind,University College London (UCL)",Language,Language modeling,
GPT-1,2018-06-01,OpenAI,Language,"Question answering,Text classification,Language modeling",8.068185861746162
RHN+HSG(depth=40),2018-05-23,Ben-Gurion University,Language,Language modeling,
RHN(depth=40),2018-05-23,Ben-Gurion University,Language,Language modeling,
2-layer skip-LSTM + dropout tuning (PTB),2018-05-23,DeepMind,Language,Language modeling,7.380211241711606
aLSTM(depth-2)+RecurrentPolicy (WT2),2018-05-22,"University of Manchester,Alan Turing Institute",Language,Language modeling,7.505149978319906
aLSTM(depth-2)+RecurrentPolicy (PTB),2018-05-22,University of Manchester,Language,Language modeling,7.380211241711606
Dropout-LSTM+Noise(Bernoulli) (WT2),2018-05-03,"Columbia University,New York University (NYU),Princeton University",Language,Language modeling,7.707570176097937
LSTM+Noise(Beta),2018-05-03,"Columbia University,New York University (NYU),Princeton University",Language,Language modeling,7.707570176097937
AWD-LSTM-MoS+Noisin+dynamic evaluation (PTB),2018-05-03,"Columbia University,New York University (NYU),Princeton University",Language,Language modeling,7.342422680822207
Dropout-LSTM+Noise(Laplace) - medium (WT2),2018-05-03,"Columbia University,New York University (NYU),Princeton University",Language,Language modeling,7.113943352306837
Dropout-LSTM+Noise(Bernoulli) - large(PTB),2018-05-03,"Columbia University,New York University (NYU),Princeton University",Language,Language modeling,7.707570176097937
ResNeXt-101 32x48d,2018-05-02,Facebook,Vision,Image classification,8.918554530550274
TF-LM-discourse LSTM (WT2),2018-05-01,ESAT - PSI,Language,Language modeling,
TF-LM-discourse LSTM (PTB),2018-05-01,ESAT - PSI,Language,Language modeling,
DNCON2,2018-05-01,University of Missouri,Biology,"Proteins,Protein folding prediction",
RNNLM + Dynamic KL Regularization (WT2),2018-04-27,Northwestern University,Language,Language modeling,7.942504106168081
RNMT+,2018-04-26,Google AI,Language,Translation,8.578524605274993
Diffractive Deep Neural Network,2018-04-14,University of California Los Angeles (UCLA),Vision,Digit recognition,9.903089986991944
YOLOv3,2018-04-08,University of Washington,Vision,Object detection,7.755365716599277
"LSTM (Hebbian, Cache, MbPA)",2018-03-27,"DeepMind,University College London (UCL)",Language,Language modeling,8.724638100367477
4 layer QRNN (h=2500),2018-03-22,Salesforce Research,Language,Language modeling,8.178976947293169
Chinese - English translation,2018-03-01,Microsoft,Language,Translation,
Residual Dense Network,2018-02-24,"Northeastern University,University of Rochester","Vision,Image generation",Image super-resolution,
Spectrally Normalized GAN,2018-02-16,"Preferred Networks Inc,Ritsumeikan University,National Institute of Informatics",Image generation,Image generation,
TCN (13M),2018-02-15,"Carnegie Mellon University (CMU),Intel Labs",Language,Language modeling,7.113943352306837
Multipop Adaptive Continuous Stack (PTB),2018-02-15,"DeepMind,University of Oxford",Language,Language modeling,7.6020599913279625
TCN (P-MNIST),2018-02-15,"Carnegie Mellon University (CMU),Intel Labs",Vision,"Image classification,Digit recognition",4.623249290397901
ENAS,2018-02-09,"Google Brain,Carnegie Mellon University (CMU),Stanford University",Language,"Language modeling,Neural Architecture Search - NAS",7.380211241711606
DeepLabV3+,2018-02-07,Google,Vision,Semantic segmentation,
AmoebaNet-A (F=448),2018-02-05,Google Brain,Vision,Image classification,8.671172842715084
IMPALA,2018-02-05,DeepMind,Games,Atari,6.204119982655925
ELMo,2018-02-01,"University of Washington,Allen Institute for AI",Language,"Question answering,Sentiment classification,Language modeling",7.973127853599698
QRNN,2018-02-01,Salesforce Research,Language,Language modeling,8.130333768495007
T-DMCA,2018-01-30,Google Brain,Language,"Language modeling,Text summarization",
DenseNet201,2018-01-28,"Tsinghua University,Facebook AI Research,Cornell University",Vision,Image classification,7.301029995663981
ULM-FiT,2018-01-18,"University of San Francisco,Insight Centre NUI Galway,Fast.ai",Language,Text classification,8.644438589467839
Refined Part Pooling,2018-01-09,"Tsinghua University,University of Technology Sydney,University of Texas at San Antonio",Vision,Person retrieval,
RNNLM + Dynamic KL Regularization,2018-01-01,Northwestern University,Language,Language modeling,7.12304107274726
PixelSNAIL (CIFAR 10),2017-12-28,University of California (UC) Berkeley,Image generation,Image generation,
PixelSNAIL (ImageNet),2017-12-28,University of California (UC) Berkeley,Image generation,Image generation,
Tacotron 2,2017-12-19,"Google,University of California (UC) Berkeley",Speech,Speech synthesis,
WGAN (Wasserstein GAN),2017-12-06,"Facebook AI Research,Courant Institute of Mathematical Sciences",Image generation,Image generation,
AlphaZero,2017-12-05,DeepMind,Games,"Chess,Shogi,Go",
2-layer-LSTM+Deep-Gradient-Compression,2017-12-05,"Tsinghua University,Stanford University,NVIDIA",Language,Language modeling,6.779596491257824
PNASNet-5,2017-12-02,"Johns Hopkins University,Google AI,Stanford University",Vision,Image classification,7.935003151453655
DL scaling speech,2017-12-01,Baidu,Speech,Speech recognition (ASR),8.285557309007773
DL scaling LM,2017-12-01,Baidu,Language,Language modeling,8.247973266361807
DL scaling Image,2017-12-01,Baidu,Vision,Image classification,8.08278537031645
TriNet,2017-11-21,"Visual Computing Institute,RWTH Aachen University",Video,Person re-identification,
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,Carnegie Mellon University (CMU),Language,Language modeling,7.544068044350276
"AWD-LSTM-MoS + dynamic evaluation (PTB, 2017)",2017-11-10,Carnegie Mellon University (CMU),Language,Language modeling,7.342422680822207
VQ-VAE,2017-11-02,DeepMind,Vision,Representation learning,
Fraternal dropout + AWD-LSTM 3-layer (WT2),2017-10-31,"Jagiellonian University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",Language,Language modeling,7.531478917042255
Fraternal dropout + AWD-LSTM 3-layer (PTB),2017-10-31,"University of Montreal / Université de Montréal,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",Language,Language modeling,7.380211241711606
DCN+,2017-10-31,Salesforce Research,Language,Question answering,
S-Norm,2017-10-29,"University of Washington,Allen Institute for AI",Language,Question answering,
PhraseCond,2017-10-28,"Carnegie Mellon University (CMU),University of Pittsburgh",Language,Question answering,
